EmployeeNo,Last Name,First Name,Birthday,Address,Phone Number,SSS #,Philhealth #,TIN #,Pag-ibig #,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate,Password
10001,Garcia,Manuel III,11/10/1983,Valero Carpark Building Valero Street 1227 Makati City,966-860-270,44-4506057-3,820000000000,442-605-657-000,691000000000,Regular,Chief Executive Officer,N/A,90000,1500,2000,1000,45000,536,1234
10002,Lim,Antonio,06/19/1988,San Antonio De Padua 2 Block 1 Lot 8 and 2 Dasmarinas Cavite,171-867-411,52-2061274-9,332000000000,683-102-776-000,664000000000,Regular,Chief Operating Officer,Manuel III Garcia,60000,1500,2000,1000,30000,357,5678
10003,Aquino,Bianca Sofia,04/08/1989,Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100 Quezon City,966-889-370,30-8870406-2,177000000000,971-711-280-000,172000000000,Regular,Chief Finance Officer,Manuel III Garcia,60000,1500,2000,1000,30000,357,
10004,Reyes,Isabella,06/16/1994,460 Solanda Street Intramuros 1000 Manila,786-868-477,40-2511815-0,342000000000,876-809-437-000,417000000000,Regular,Chief Marketing Officer,Manuel III Garcia,60000,1500,2000,1000,30000,357,
10005,Hernandez,Eduard,09/23/1989,National Highway Gingoog  Misamis Occidental,088-861-012,50-5577638-1,957000000000,031-702-374-000,952000000000,Regular,IT Operations and Systems,Antonio Lim,52670,1500,1000,1000,26335,314,
10006,Villanueva,Andrea Mae,02/14/1988,17/85 Stracke Via Suite 042 Poblacion Las Pi�as 4783 Dinagat Islands ,918-621-603,49-1632020-8,382000000000,317-674-022-000,441000000000,Regular,HR Manager,Antonio Lim,52670,1500,1000,1000,26335,314,
10007,San Jose,Brad,03/15/1996,99 Strosin Hills Poblacion Bislig 5340 Tawi-Tawi,797-009-261,40-2400714-1,239000000000,672-474-690-000,211000000000,Regular,HR Team Leader,Andrea Mae Villanueva,42975,1500,800,800,21488,256,
10008,Romualdez,Alice,05/14/1992,12A/33 Upton Isle Apt. 420 Roxas City 1814 Surigao del Norte ,983-606-799,55-4476527-2,546000000000,888-572-294-000,211000000000,Regular,HR Rank and File,Jose Brad San,22500,1500,500,500,11250,134,
10009,Atienza,Rosie ,09/24/1948,90A Dibbert Terrace Apt. 190 San Lorenzo 6056 Davao del Norte,266-036-427,41-0644692-3,709000000000,604-997-793-000,260000000000,Regular,HR Rank and File,Jose Brad San,22500,1500,500,500,11250,134,
10010,Alvaro,Roderick,03/30/1988,#284 T. Morato corner Scout Rallos Street Quezon City,053-381-386,64-7605054-4,578000000000,525-420-419-000,799000000000,Regular,Accounting Head,Bianca Sofia Aquino,52670,1500,1000,1000,26335,314,
10011,Salcedo,Anthony,09/14/1993,93/54 Shanahan Alley Apt. 183 Santo Tomas 1572 Masbate,070-766-300,26-9647608-3,126000000000,210-805-911-000,218000000000,Regular,Payroll Manager,Roderick Alvaro,50825,1500,1000,1000,25413,303,
10012,Lopez,Josie ,01/14/1987,49 Springs Apt. 266 Poblacion Taguig 3200 Occidental Mindoro,478-355-427,44-8563448-3,432000000000,218-489-737-000,113000000000,Regular,Payroll Team Leader,Anthony Salcedo,38475,1500,800,800,19238,229,
10013,Farala,Martha,11/01/1942,42/25 Sawayn Stream Ubay 1208 Zamboanga del Norte ,329-034-366,45-5656375-0,234000000000,210-835-851-000,631000000000,Regular,Payroll Rank and File,Anthony Salcedo,24000,1500,500,500,12000,143,
10014,Martinez,Leila,11/07/1970,37/46 Kulas Roads Maragondon 0962 Quirino ,877-110-749,27-2090996-4,516000000000,275-792-513-000,101000000000,Regular,Payroll Rank and File,Anthony Salcedo,24000,1500,500,500,12000,143,
10015,Romualdez,Fredrick ,10/03/1985,22A/52 Lubowitz Meadows Pililla 4895 Zambales,023-079-009,26-8768374-1,308000000000,598-065-761-000,223000000000,Regular,Account Manager,Antonio Lim,53500,1500,1000,1000,26750,318,
10016,Mata,Christian,10/21/1987,90 O'Keefe Spur Apt. 379 Catigbian 2772 Sulu ,783-776-744,49-2959312-6,824000000000,103-100-522-000,631000000000,Regular,Account Team Leader,Fredrick Romualdez ,42975,1500,800,800,21488,256,
10017,De Leon,Selena ,02/20/1975,89A Armstrong Trace Compostela 7874 Maguindanao,975-432-139,27-2090208-8,587000000000,482-259-498-000,719000000000,Regular,Account Team Leader,Fredrick Romualdez  ,41850,1500,800,800,20925,249,
10018,San Jose,Allison ,06/24/1986,08 Grant Drive Suite 406 Poblacion Iloilo City 9186 La Union,179-075-129,45-3251383-0,745000000000,121-203-336-000,115000000000,Regular,Account Rank and File,Christian Mata,22500,1500,500,500,11250,134,
